__UUID4__;3b400b51-0770-4f4d-938f-594aa20e74db
__CREATED-ON__;2026-09-18 10:48:02.576818
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 10:48:02.576818;;;SERIAL-PORT;COM10
INFO;2026-09-18 10:48:02.576818;;;PROTOCOL-NAME;stage1_wheel_shaping
INFO;2026-09-18 10:48:02.576818;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 10:48:02.576818;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 10:48:02.576818;;;EXPERIMENT-NAME;Stage1
INFO;2026-09-18 10:48:02.576818;;;BOARD-NAME;Box3
INFO;2026-09-18 10:48:02.576818;;;SETUP-NAME;Stage1
INFO;2026-09-18 10:48:02.576818;;;BPOD-GUI-VERSION;
INFO;2026-09-18 10:48:02.576818;;;NET-PORT;36000
INFO;2026-09-18 10:48:02.576818;;;SUBJECT-NAME;['test_stage1', '47367562-47fc-46a6-9cf6-2c34f24df9e5']
INFO;2026-09-18 10:48:03.041616;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 10:48:03.041616;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 10:48:03.041616;;;SESSION-NAME;20260918-104801
INFO;2026-09-18 10:48:03.041616;;;SESSION-STARTED;2026-09-18 10:48:02.576818
stdout;2026-09-18 10:48:03.041616;;;Connected to Bpod on COM10;
stdout;2026-09-18 10:48:03.041616;;;|
|;
stdout;2026-09-18 10:48:03.041616;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 10:48:03.041616;;;|
|;
stdout;2026-09-18 10:48:03.072976;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 10:48:03.072976;;;|
|;
stdout;2026-09-18 10:48:05.110453;;;  COM11: ack=217;
stdout;2026-09-18 10:48:05.110453;;;|
|;
stdout;2026-09-18 10:48:07.159636;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 10:48:07.159636;;;|
|;
VAL;2026-09-18 10:48:07.175256;;;THRESHOLD_DEG;1.75
VAL;2026-09-18 10:48:07.175256;;;REWARD_UL;4.0
stdout;2026-09-18 10:48:09.716596;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 10:48:09.716596;;;|
|;
VAL;2026-09-18 10:48:09.716596;;;CAMERA_START_TIME;2.541339635848999
VAL;2026-09-18 10:48:09.716596;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 10:48:09.716596;;;CAMERA_FPS;30.0
