__UUID4__;6ccb50d9-c5bf-4d35-b890-d9b746f115c9
__CREATED-ON__;2026-09-18 10:55:13.693863
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 10:55:13.693863;;;SERIAL-PORT;COM10
INFO;2026-09-18 10:55:13.693863;;;PROTOCOL-NAME;stage1_wheel_shaping
INFO;2026-09-18 10:55:13.693863;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 10:55:13.693863;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 10:55:13.693863;;;EXPERIMENT-NAME;Stage1
INFO;2026-09-18 10:55:13.693863;;;BOARD-NAME;Box3
INFO;2026-09-18 10:55:13.693863;;;SETUP-NAME;Stage1
INFO;2026-09-18 10:55:13.693863;;;BPOD-GUI-VERSION;
INFO;2026-09-18 10:55:13.693863;;;NET-PORT;36000
INFO;2026-09-18 10:55:13.693863;;;SUBJECT-NAME;['test_stage1', '47367562-47fc-46a6-9cf6-2c34f24df9e5']
INFO;2026-09-18 10:55:14.149973;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 10:55:14.150866;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 10:55:14.150866;;;SESSION-NAME;20260918-105512
INFO;2026-09-18 10:55:14.150866;;;SESSION-STARTED;2026-09-18 10:55:13.692823
stdout;2026-09-18 10:55:14.150866;;;Connected to Bpod on COM10;
stdout;2026-09-18 10:55:14.150866;;;|
|;
stdout;2026-09-18 10:55:14.150866;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 10:55:14.150866;;;|
|;
stdout;2026-09-18 10:55:14.174871;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 10:55:14.174871;;;|
|;
stdout;2026-09-18 10:55:16.212327;;;  COM11: ack=217;
stdout;2026-09-18 10:55:16.212327;;;|
|;
stdout;2026-09-18 10:55:18.235825;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 10:55:18.235825;;;|
|;
VAL;2026-09-18 10:55:18.249967;;;THRESHOLD_DEG;1.75
VAL;2026-09-18 10:55:18.249967;;;REWARD_UL;4.0
stdout;2026-09-18 10:55:20.466743;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 10:55:20.466743;;;|
|;
VAL;2026-09-18 10:55:20.467770;;;CAMERA_START_TIME;2.216775417327881
VAL;2026-09-18 10:55:20.467770;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 10:55:20.467770;;;CAMERA_FPS;30.0
stdout;2026-09-18 10:55:20.467770;;;Dot gain calibrated to -236.98 px/wheel-deg (final=-78.99, mult=3.00x, screen width 6144px);
stdout;2026-09-18 10:55:20.467770;;;|
|;
stdout;2026-09-18 10:55:21.191888;;;Starting up to 400 trials, targeting 200 for advancement;
stdout;2026-09-18 10:55:21.191888;;;|
|;
VAL;2026-09-18 10:55:21.191888;;;TRIAL_INIT_START;2.941920757293701
VAL;2026-09-18 10:55:21.224497;;;WHEEL_POS;2.975,0.00
