__UUID4__;72891b6b-4c90-4f1a-b525-5afe4d740e69
__CREATED-ON__;2026-09-18 10:57:38.684357
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 10:57:38.684357;;;SERIAL-PORT;COM10
INFO;2026-09-18 10:57:38.684357;;;PROTOCOL-NAME;stage2_threshold_staircase
INFO;2026-09-18 10:57:38.684357;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 10:57:38.684357;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 10:57:38.685046;;;EXPERIMENT-NAME;Stage2
INFO;2026-09-18 10:57:38.685046;;;BOARD-NAME;Box3
INFO;2026-09-18 10:57:38.685046;;;SETUP-NAME;Stage2
INFO;2026-09-18 10:57:38.685046;;;BPOD-GUI-VERSION;
INFO;2026-09-18 10:57:38.685046;;;NET-PORT;36000
INFO;2026-09-18 10:57:38.685046;;;SUBJECT-NAME;['test_stage2', 'e8ad6561-0b64-48a6-b7fa-10f0543f7938']
INFO;2026-09-18 10:57:39.137996;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 10:57:39.137996;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 10:57:39.137996;;;SESSION-NAME;20260918-105737
INFO;2026-09-18 10:57:39.137996;;;SESSION-STARTED;2026-09-18 10:57:38.677951
stdout;2026-09-18 10:57:39.137996;;;Connected to Bpod on COM10;
stdout;2026-09-18 10:57:39.137996;;;|
|;
stdout;2026-09-18 10:57:39.137996;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 10:57:39.137996;;;|
|;
stdout;2026-09-18 10:57:39.168934;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 10:57:39.168934;;;|
|;
stdout;2026-09-18 10:57:41.187587;;;  COM11: ack=217;
stdout;2026-09-18 10:57:41.187587;;;|
|;
stdout;2026-09-18 10:57:43.204001;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 10:57:43.204001;;;|
|;
VAL;2026-09-18 10:57:43.204001;;;REWARD_UL;4.0
stdout;2026-09-18 10:57:45.485506;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 10:57:45.485506;;;|
|;
VAL;2026-09-18 10:57:45.485506;;;CAMERA_START_TIME;2.2815053462982178
VAL;2026-09-18 10:57:45.485506;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 10:57:45.485506;;;CAMERA_FPS;30.0
stdout;2026-09-18 10:57:45.485506;;;Dot gain calibrated to -78.99 px/wheel-deg (screen width 6144px);
stdout;2026-09-18 10:57:45.485506;;;|
|;
stdout;2026-09-18 10:57:45.485506;;;Spout should be at approximately 0.0mm retracted from Stage 1's position (per the ~2.5mm/qualifying-session schedule) -- confirm this matches the physical setup before starting.;
