__UUID4__;3849f8d1-9b83-444b-9989-503d3599129c
__CREATED-ON__;2026-09-18 11:07:35.895474
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 11:07:35.895474;;;SERIAL-PORT;COM10
INFO;2026-09-18 11:07:35.895474;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 11:07:35.895474;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 11:07:35.895474;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 11:07:35.895474;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 11:07:35.895474;;;BOARD-NAME;Box3
INFO;2026-09-18 11:07:35.895474;;;SETUP-NAME;Stage3
INFO;2026-09-18 11:07:35.895474;;;BPOD-GUI-VERSION;
INFO;2026-09-18 11:07:35.895474;;;NET-PORT;36000
INFO;2026-09-18 11:07:35.895474;;;SUBJECT-NAME;['test_stage3', '50f55046-f6d1-4ac0-829f-efe98a487b0e']
INFO;2026-09-18 11:07:36.359281;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 11:07:36.359281;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 11:07:36.359281;;;SESSION-NAME;20260918-110734
INFO;2026-09-18 11:07:36.359281;;;SESSION-STARTED;2026-09-18 11:07:35.895474
stdout;2026-09-18 11:07:36.359281;;;Connected to Bpod on COM10;
stdout;2026-09-18 11:07:36.359281;;;|
|;
stdout;2026-09-18 11:07:36.359281;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 11:07:36.359281;;;|
|;
stdout;2026-09-18 11:07:36.390406;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 11:07:36.390406;;;|
|;
stdout;2026-09-18 11:07:38.411000;;;  COM11: ack=217;
stdout;2026-09-18 11:07:38.411000;;;|
|;
stdout;2026-09-18 11:07:40.435894;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 11:07:40.435894;;;|
|;
stdout;2026-09-18 11:07:40.574400;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 11:07:40.574400;;;|
|;
VAL;2026-09-18 11:07:40.590027;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 11:07:40.590027;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 11:08:49.058337;;;GIT_COMMIT;f63385200c72f20c041f38f5d1de44ad97556fe1-dirty
stdout;2026-09-18 11:08:51.234559;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stderr;2026-09-18 11:08:51.234559;;|Traceback (most recent call last):
|;;
stderr;2026-09-18 11:08:51.234559;;|
|;;
stderr;2026-09-18 11:08:51.250185;;Exception ignored in: ;;
