__UUID4__;4a78d772-ad17-4b16-b89c-d814fac0d638
__CREATED-ON__;2026-09-18 15:36:43.713222
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 15:36:43.713222;;;SERIAL-PORT;COM10
INFO;2026-09-18 15:36:43.713222;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 15:36:43.713222;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 15:36:43.713222;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 15:36:43.713222;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 15:36:43.713222;;;BOARD-NAME;Box3
INFO;2026-09-18 15:36:43.713222;;;SETUP-NAME;Stage3
INFO;2026-09-18 15:36:43.713222;;;BPOD-GUI-VERSION;
INFO;2026-09-18 15:36:43.713222;;;NET-PORT;36000
INFO;2026-09-18 15:36:43.713222;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 15:36:44.153601;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 15:36:44.153601;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 15:36:44.153601;;;SESSION-NAME;20260918-153642
INFO;2026-09-18 15:36:44.153601;;;SESSION-STARTED;2026-09-18 15:36:43.713222
stdout;2026-09-18 15:36:44.153601;;;Connected to Bpod on COM10;
stdout;2026-09-18 15:36:44.153601;;;|
|;
stdout;2026-09-18 15:36:44.153601;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 15:36:44.153601;;;|
|;
stdout;2026-09-18 15:36:44.174077;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 15:36:44.174077;;;|
|;
stdout;2026-09-18 15:36:46.202244;;;  COM11: ack=217;
stdout;2026-09-18 15:36:46.202244;;;|
|;
stdout;2026-09-18 15:36:48.221139;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 15:36:48.221139;;;|
|;
stdout;2026-09-18 15:36:48.364290;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 15:36:48.364290;;;|
|;
VAL;2026-09-18 15:36:48.364290;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 15:36:48.364290;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 15:37:19.798434;;;GIT_COMMIT;unknown
stdout;2026-09-18 15:37:22.065649;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 15:37:22.066649;;;|
|;
stdout;2026-09-18 15:37:22.066649;;;DEBUG: camera.start() returned OK;
stdout;2026-09-18 15:37:22.066649;;;|
|;
VAL;2026-09-18 15:37:22.066649;;;CAMERA_START_TIME;2.2682149410247803
VAL;2026-09-18 15:37:22.066649;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 15:37:22.066649;;;CAMERA_FPS;30.0
stdout;2026-09-18 15:37:22.066649;;;Dot gain calibrated to -78.99 px/wheel-deg (screen width 6144px, response threshold 35.0deg);
stdout;2026-09-18 15:37:22.066649;;;|
|;
stdout;2026-09-18 15:37:23.392333;;;Starting Stage 3 -- response threshold frozen at 35.0deg, in-trial threshold 10.0deg (PLACEHOLDER -- not yet empirically derived), click level ATTENUATED (-6dB, 2 session(s) remaining);
stdout;2026-09-18 15:37:23.392333;;;|
|;
VAL;2026-09-18 15:37:23.401366;;;TRIAL_INIT_START;3.6029319763183594
VAL;2026-09-18 15:37:23.416799;;;WHEEL_POS;3.618,-57.70
VAL;2026-09-18 15:37:23.432802;;;WHEEL_POS;3.634,-57.70
VAL;2026-09-18 15:37:23.449310;;;WHEEL_POS;3.651,-57.70
VAL;2026-09-18 15:37:23.465314;;;WHEEL_POS;3.667,-57.70
VAL;2026-09-18 15:37:23.481318;;;WHEEL_POS;3.683,-57.70
VAL;2026-09-18 15:37:23.497321;;;WHEEL_POS;3.699,-57.70
VAL;2026-09-18 15:37:23.513325;;;WHEEL_POS;3.715,-57.70
VAL;2026-09-18 15:37:23.529364;;;WHEEL_POS;3.731,-57.70
VAL;2026-09-18 15:37:23.545490;;;WHEEL_POS;3.747,-57.70
VAL;2026-09-18 15:37:23.563495;;;TRIAL_START;3.747056007385254
VAL;2026-09-18 15:37:23.563495;;;QUIESCENCE_BREAKS;0
VAL;2026-09-18 15:37:23.563495;;;TRIAL_TYPE;warmup
VAL;2026-09-18 15:37:23.921744;;;TRIAL_SIDE;R
VAL;2026-09-18 15:37:23.921744;;;CLICK_TIMES_L;
VAL;2026-09-18 15:37:23.921744;;;CLICK_TIMES_R;0.0231,0.1390,0.2048,0.2368
VAL;2026-09-18 15:37:23.921744;;;N_CLICKS_L;0
VAL;2026-09-18 15:37:23.921744;;;N_CLICKS_R;4
VAL;2026-09-18 15:37:23.921744;;;STIM_SEED;1987073745
VAL;2026-09-18 15:37:23.921744;;;CUE_ABORT_THRESHOLD_DEG;10.0
VAL;2026-09-18 15:37:23.922744;;;RESPONSE_THRESHOLD_DEG;35.0
VAL;2026-09-18 15:37:23.922744;;;QUIESCENCE_DUR_S;0.1
VAL;2026-09-18 15:37:23.922744;;;ITI_S;1.5
VAL;2026-09-18 15:37:23.922744;;;CLICK_LEVEL_ATTENUATED;True
stdout;2026-09-18 15:37:23.922744;;;Trial 1 (warmup): side=R, n_L=0, n_R=4;
stdout;2026-09-18 15:37:23.922744;;;|
|;
VAL;2026-09-18 15:37:23.922744;;;SM_SEND_TIME;4.124309539794922
VAL;2026-09-18 15:37:23.922744;;;CUE_ONSET_TIME;4.145309539794922
TRIAL;2026-09-18 15:37:23.925511;;;New trial;
VAL;2026-09-18 15:37:23.930369;;;WHEEL_POS;4.132,0.00
END-TRIAL;2026-09-18 15:37:23.932367;;;The trial ended;
stdout;2026-09-18 15:37:23.941370;;;Bpod stopped running trials (Stop/Kill) -- ending session early after trial 1.;
stdout;2026-09-18 15:37:23.941370;;;|
|;
stdout;2026-09-18 15:37:23.941370;;;Session ending: Stop/Kill/crash (see log above);
stdout;2026-09-18 15:37:23.941370;;;|
|;
stdout;2026-09-18 15:37:23.942370;;;Session: 0 main trials, accuracy(AOS)=0.0%, abort_rate=0.0%, gates_met=False;
stdout;2026-09-18 15:37:23.942370;;;|
|;
stdout;2026-09-18 15:37:23.942370;;;ADVANCE-READY (3 consecutive qualifying sessions): no;
stdout;2026-09-18 15:37:23.942370;;;|
|;
stdout;2026-09-18 15:37:23.942370;;;  (history so far: [False]);
stdout;2026-09-18 15:37:23.942370;;;|
|;
VAL;2026-09-18 15:37:23.942370;;;SESSION_WATER_UL;0.0
stdout;2026-09-18 15:37:24.306536;;;CameraRecorder: wrote 43 frame timestamps to session_video_timestamps.csv;
stdout;2026-09-18 15:37:24.306536;;;|
|;
INFO;2026-09-18 15:37:24.313537;;;SESSION-ENDED;2026-09-18 15:37:24.313537
stdout;2026-09-18 15:37:24.336046;;;Session struct exported: C:\Ugurcan\Experimental-Tasks\_projects\AuditoryEvidenceAccum\experiments\Stage3\setups\Stage3\sessions\20260918-153642\20260918-153642_struct.mat / C:\Ugurcan\Experimental-Tasks\_projects\AuditoryEvidenceAccum\experiments\Stage3\setups\Stage3\sessions\20260918-153642\20260918-153642_struct.json;
stdout;2026-09-18 15:37:24.336046;;;|
|;
stdout;2026-09-18 15:37:24.336046;;;Close the plot window to exit.;
stdout;2026-09-18 15:37:24.336046;;;|
|;
