__UUID4__;9eb14c7f-6f31-4094-8acb-a5ad82bc6f01
__CREATED-ON__;2026-09-18 15:37:53.276990
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 15:37:53.276990;;;SERIAL-PORT;COM10
INFO;2026-09-18 15:37:53.276990;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 15:37:53.276990;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 15:37:53.276990;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 15:37:53.276990;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 15:37:53.276990;;;BOARD-NAME;Box3
INFO;2026-09-18 15:37:53.276990;;;SETUP-NAME;Stage3
INFO;2026-09-18 15:37:53.276990;;;BPOD-GUI-VERSION;
INFO;2026-09-18 15:37:53.276990;;;NET-PORT;36000
INFO;2026-09-18 15:37:53.276990;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 15:37:53.741464;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 15:37:53.741464;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 15:37:53.741464;;;SESSION-NAME;20260918-153752
INFO;2026-09-18 15:37:53.741464;;;SESSION-STARTED;2026-09-18 15:37:53.276990
stdout;2026-09-18 15:37:53.741464;;;Connected to Bpod on COM10;
stdout;2026-09-18 15:37:53.741464;;;|
|;
stdout;2026-09-18 15:37:53.741464;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 15:37:53.741464;;;|
|;
stdout;2026-09-18 15:37:53.772844;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 15:37:53.772844;;;|
|;
stdout;2026-09-18 15:37:55.805624;;;  COM11: ack=217;
stdout;2026-09-18 15:37:55.805624;;;|
|;
stdout;2026-09-18 15:37:57.835312;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 15:37:57.835312;;;|
|;
stdout;2026-09-18 15:37:57.988517;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 15:37:57.988517;;;|
|;
VAL;2026-09-18 15:37:57.988517;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 15:37:57.988517;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 15:39:22.437256;;;GIT_COMMIT;unknown
stdout;2026-09-18 15:39:24.694041;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 15:39:24.694041;;;|
|;
stdout;2026-09-18 15:39:24.694041;;;DEBUG: camera.start() returned OK;
stdout;2026-09-18 15:39:24.694041;;;|
|;
VAL;2026-09-18 15:39:24.694041;;;CAMERA_START_TIME;2.2567851543426514
VAL;2026-09-18 15:39:24.694041;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 15:39:24.694041;;;CAMERA_FPS;30.0
stdout;2026-09-18 15:39:24.694041;;;Dot gain calibrated to -78.99 px/wheel-deg (screen width 6144px, response threshold 35.0deg);
stdout;2026-09-18 15:39:24.694041;;;|
|;
stdout;2026-09-18 15:39:25.954051;;;Starting Stage 3 -- response threshold frozen at 35.0deg, in-trial threshold 10.0deg (PLACEHOLDER -- not yet empirically derived), click level ATTENUATED (-6dB, 1 session(s) remaining);
stdout;2026-09-18 15:39:25.954051;;;|
|;
VAL;2026-09-18 15:39:25.954051;;;TRIAL_INIT_START;3.516794204711914
VAL;2026-09-18 15:39:25.987235;;;WHEEL_POS;3.550,-167.30
VAL;2026-09-18 15:39:26.002599;;;WHEEL_POS;3.565,-167.30
VAL;2026-09-18 15:39:26.019769;;;WHEEL_POS;3.583,-167.30
VAL;2026-09-18 15:39:26.051508;;;WHEEL_POS;3.614,-167.30
VAL;2026-09-18 15:39:26.067563;;;WHEEL_POS;3.630,-167.30
VAL;2026-09-18 15:39:26.087821;;;WHEEL_POS;3.651,-167.30
VAL;2026-09-18 15:39:26.116600;;;WHEEL_POS;3.679,-167.30
VAL;2026-09-18 15:39:26.136200;;;TRIAL_START;3.6793432235717773
VAL;2026-09-18 15:39:26.136200;;;QUIESCENCE_BREAKS;0
VAL;2026-09-18 15:39:26.136200;;;TRIAL_TYPE;warmup
VAL;2026-09-18 15:39:26.508641;;;TRIAL_SIDE;R
VAL;2026-09-18 15:39:26.508641;;;CLICK_TIMES_L;
VAL;2026-09-18 15:39:26.508641;;;CLICK_TIMES_R;0.1955,0.2105
VAL;2026-09-18 15:39:26.508641;;;N_CLICKS_L;0
VAL;2026-09-18 15:39:26.508641;;;N_CLICKS_R;2
VAL;2026-09-18 15:39:26.508641;;;STIM_SEED;1815840293
VAL;2026-09-18 15:39:26.508641;;;CUE_ABORT_THRESHOLD_DEG;10.0
VAL;2026-09-18 15:39:26.508641;;;RESPONSE_THRESHOLD_DEG;35.0
VAL;2026-09-18 15:39:26.508641;;;QUIESCENCE_DUR_S;0.1
VAL;2026-09-18 15:39:26.508641;;;ITI_S;1.5
VAL;2026-09-18 15:39:26.508641;;;CLICK_LEVEL_ATTENUATED;True
stdout;2026-09-18 15:39:26.508641;;;Trial 1 (warmup): side=R, n_L=0, n_R=2;
stdout;2026-09-18 15:39:26.508641;;;|
|;
VAL;2026-09-18 15:39:26.508641;;;SM_SEND_TIME;4.071384429931641
VAL;2026-09-18 15:39:26.508641;;;CUE_ONSET_TIME;4.0923844299316405
TRIAL;2026-09-18 15:39:26.508641;;;New trial;
VAL;2026-09-18 15:39:26.508641;;;WHEEL_POS;4.071,0.00
END-TRIAL;2026-09-18 15:39:26.523669;;;The trial ended;
stdout;2026-09-18 15:39:26.540488;;;Bpod stopped running trials (Stop/Kill) -- ending session early after trial 1.;
stdout;2026-09-18 15:39:26.540488;;;|
|;
stdout;2026-09-18 15:39:26.540488;;;Session ending: Stop/Kill/crash (see log above);
stdout;2026-09-18 15:39:26.540488;;;|
|;
