__UUID4__;07f45297-fd14-4c6c-b702-57a2c00fa891
__CREATED-ON__;2026-09-18 16:09:07.462610
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 16:09:07.462610;;;SERIAL-PORT;COM10
INFO;2026-09-18 16:09:07.462610;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 16:09:07.462610;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 16:09:07.462610;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 16:09:07.478331;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 16:09:07.478331;;;BOARD-NAME;Box3
INFO;2026-09-18 16:09:07.478331;;;SETUP-NAME;Stage3
INFO;2026-09-18 16:09:07.478331;;;BPOD-GUI-VERSION;
INFO;2026-09-18 16:09:07.478331;;;NET-PORT;36000
INFO;2026-09-18 16:09:07.478331;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 16:09:07.945112;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 16:09:07.945112;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 16:09:07.945112;;;SESSION-NAME;20260918-160906
INFO;2026-09-18 16:09:07.945112;;;SESSION-STARTED;2026-09-18 16:09:07.462610
stdout;2026-09-18 16:09:07.945112;;;Connected to Bpod on COM10;
stdout;2026-09-18 16:09:07.945112;;;|
|;
stdout;2026-09-18 16:09:07.945112;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 16:09:07.945112;;;|
|;
stdout;2026-09-18 16:09:07.960745;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 16:09:07.960745;;;|
|;
stdout;2026-09-18 16:09:09.986831;;;  COM11: ack=217;
stdout;2026-09-18 16:09:09.986831;;;|
|;
stdout;2026-09-18 16:09:12.010161;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 16:09:12.010161;;;|
|;
stdout;2026-09-18 16:09:12.143698;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 16:09:12.143698;;;|
|;
stdout;2026-09-18 16:09:12.143698;;;Amplitude from calibration: 0.6552 for 70.0dB SPL (L 4000Hz).;
stdout;2026-09-18 16:09:12.143698;;;|
|;
stdout;2026-09-18 16:09:12.143698;;;WARNING: sound calibration unavailable (R 10000Hz has no calibration fit yet -- run calibrate_sound.py and fit it before requesting an amplitude.) -- using hardcoded fallback amplitude=1.0.;
stdout;2026-09-18 16:09:12.143698;;;|
|;
VAL;2026-09-18 16:09:12.143698;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 16:09:12.143698;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 16:09:17.151976;;;GIT_COMMIT;unknown
VAL;2026-09-18 16:09:17.151976;;;TARGET_SPL_DB;70.0
VAL;2026-09-18 16:09:17.151976;;;LEFT_FREQ_HZ;4000
VAL;2026-09-18 16:09:17.151976;;;RIGHT_FREQ_HZ;10000
stdout;2026-09-18 16:09:19.403537;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 16:09:19.403537;;;|
|;
stdout;2026-09-18 16:09:19.403537;;;DEBUG: camera.start() returned OK;
stdout;2026-09-18 16:09:19.403537;;;|
|;
VAL;2026-09-18 16:09:19.403537;;;CAMERA_START_TIME;2.2515604496002197
VAL;2026-09-18 16:09:19.403537;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 16:09:19.403537;;;CAMERA_FPS;30.0
stdout;2026-09-18 16:09:19.403537;;;Dot gain calibrated to -78.99 px/wheel-deg (screen width 6144px, response threshold 35.0deg);
stdout;2026-09-18 16:09:19.403537;;;|
|;
stdout;2026-09-18 16:09:20.638865;;;Starting Stage 3 -- response threshold frozen at 35.0deg, in-trial threshold 10.0deg (PLACEHOLDER -- not yet empirically derived), click level FULL;
stdout;2026-09-18 16:09:20.638865;;;|
|;
VAL;2026-09-18 16:09:20.638865;;;TRIAL_INIT_START;3.486889123916626
VAL;2026-09-18 16:09:20.672616;;;WHEEL_POS;3.521,0.00
VAL;2026-09-18 16:09:20.688245;;;WHEEL_POS;3.536,0.00
VAL;2026-09-18 16:09:20.719496;;;WHEEL_POS;3.568,0.00
VAL;2026-09-18 16:09:20.750750;;;WHEEL_POS;3.599,0.00
VAL;2026-09-18 16:09:20.792380;;;WHEEL_POS;3.640,0.00
VAL;2026-09-18 16:09:20.808010;;;WHEEL_POS;3.656,0.00
VAL;2026-09-18 16:09:20.823637;;;TRIAL_START;3.656033754348755
VAL;2026-09-18 16:09:20.823637;;;QUIESCENCE_BREAKS;0
VAL;2026-09-18 16:09:20.823637;;;TRIAL_TYPE;warmup
VAL;2026-09-18 16:09:21.173755;;;TRIAL_SIDE;R
VAL;2026-09-18 16:09:21.173755;;;CLICK_TIMES_L;
VAL;2026-09-18 16:09:21.173755;;;CLICK_TIMES_R;0.0150,0.1167,0.1483,0.2492
VAL;2026-09-18 16:09:21.173755;;;N_CLICKS_L;0
VAL;2026-09-18 16:09:21.173755;;;N_CLICKS_R;4
