__UUID4__;107b2cb6-7280-4404-a390-66cd94b59ac5
__CREATED-ON__;2026-09-18 16:12:06.495495
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 16:12:06.495495;;;SERIAL-PORT;COM10
INFO;2026-09-18 16:12:06.495495;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 16:12:06.495495;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 16:12:06.495495;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 16:12:06.495495;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 16:12:06.495495;;;BOARD-NAME;Box3
INFO;2026-09-18 16:12:06.495495;;;SETUP-NAME;Stage3
INFO;2026-09-18 16:12:06.495495;;;BPOD-GUI-VERSION;
INFO;2026-09-18 16:12:06.495495;;;NET-PORT;36000
INFO;2026-09-18 16:12:06.495495;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 16:12:06.951473;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 16:12:06.951473;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 16:12:06.951473;;;SESSION-NAME;20260918-161205
INFO;2026-09-18 16:12:06.951473;;;SESSION-STARTED;2026-09-18 16:12:06.495495
stdout;2026-09-18 16:12:06.951473;;;Connected to Bpod on COM10;
stdout;2026-09-18 16:12:06.951473;;;|
|;
stdout;2026-09-18 16:12:06.951473;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 16:12:06.951473;;;|
|;
stdout;2026-09-18 16:12:06.983891;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 16:12:06.983891;;;|
|;
stdout;2026-09-18 16:12:09.016093;;;  COM11: ack=217;
stdout;2026-09-18 16:12:09.016093;;;|
|;
stdout;2026-09-18 16:12:11.043634;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 16:12:11.043634;;;|
|;
stdout;2026-09-18 16:12:11.187855;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 16:12:11.187855;;;|
|;
stdout;2026-09-18 16:12:11.187855;;;Amplitude from calibration: 0.6552 for 70.0dB SPL (L 4000Hz).;
stdout;2026-09-18 16:12:11.187855;;;|
|;
stdout;2026-09-18 16:12:11.202900;;;WARNING: sound calibration unavailable (R 10000Hz has no calibration fit yet -- run calibrate_sound.py and fit it before requesting an amplitude.) -- using hardcoded fallback amplitude=1.0.;
stdout;2026-09-18 16:12:11.202900;;;|
|;
VAL;2026-09-18 16:12:11.202900;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 16:12:11.202900;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 16:12:16.213723;;;GIT_COMMIT;unknown
VAL;2026-09-18 16:12:16.213723;;;TARGET_SPL_DB;70.0
VAL;2026-09-18 16:12:16.213723;;;LEFT_FREQ_HZ;4000
VAL;2026-09-18 16:12:16.213723;;;RIGHT_FREQ_HZ;10000
stdout;2026-09-18 16:12:18.420773;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 16:12:18.420773;;;|
|;
stdout;2026-09-18 16:12:18.420773;;;DEBUG: camera.start() returned OK;
stdout;2026-09-18 16:12:18.420773;;;|
|;
VAL;2026-09-18 16:12:18.420773;;;CAMERA_START_TIME;2.207050323486328
VAL;2026-09-18 16:12:18.420773;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 16:12:18.420773;;;CAMERA_FPS;30.0
stdout;2026-09-18 16:12:18.420773;;;Dot gain calibrated to -78.99 px/wheel-deg (screen width 6144px, response threshold 35.0deg);
stdout;2026-09-18 16:12:18.420773;;;|
|;
stdout;2026-09-18 16:12:19.766698;;;Starting Stage 3 -- response threshold frozen at 35.0deg, in-trial threshold 10.0deg (PLACEHOLDER -- not yet empirically derived), click level FULL;
stdout;2026-09-18 16:12:19.766698;;;|
|;
VAL;2026-09-18 16:12:19.772748;;;TRIAL_INIT_START;3.5590248107910156
VAL;2026-09-18 16:12:19.799118;;;WHEEL_POS;3.585,0.00
VAL;2026-09-18 16:12:19.815208;;;WHEEL_POS;3.601,0.00
VAL;2026-09-18 16:12:19.831275;;;WHEEL_POS;3.618,0.00
VAL;2026-09-18 16:12:19.851403;;;WHEEL_POS;3.638,0.00
VAL;2026-09-18 16:12:19.863903;;;WHEEL_POS;3.650,0.00
VAL;2026-09-18 16:12:19.883344;;;WHEEL_POS;3.670,0.00
VAL;2026-09-18 16:12:19.917091;;;WHEEL_POS;3.703,0.00
VAL;2026-09-18 16:12:19.951260;;;WHEEL_POS;3.738,0.00
VAL;2026-09-18 16:12:19.962897;;;TRIAL_START;3.737537145614624
VAL;2026-09-18 16:12:19.962897;;;QUIESCENCE_BREAKS;0
VAL;2026-09-18 16:12:19.962897;;;TRIAL_TYPE;warmup
VAL;2026-09-18 16:12:20.341424;;;TRIAL_SIDE;L
VAL;2026-09-18 16:12:20.341424;;;CLICK_TIMES_L;0.0649,0.1230,0.1413,0.1805
VAL;2026-09-18 16:12:20.341424;;;CLICK_TIMES_R;
VAL;2026-09-18 16:12:20.341424;;;N_CLICKS_L;4
VAL;2026-09-18 16:12:20.341424;;;N_CLICKS_R;0
VAL;2026-09-18 16:12:20.341424;;;STIM_SEED;1457924095
VAL;2026-09-18 16:12:20.341424;;;CUE_ABORT_THRESHOLD_DEG;10.0
VAL;2026-09-18 16:12:20.341424;;;RESPONSE_THRESHOLD_DEG;35.0
VAL;2026-09-18 16:12:20.341424;;;QUIESCENCE_DUR_S;0.1
VAL;2026-09-18 16:12:20.341424;;;ITI_S;1.5
VAL;2026-09-18 16:12:20.341424;;;CLICK_LEVEL_ATTENUATED;False
stdout;2026-09-18 16:12:20.341424;;;Trial 1 (warmup): side=L, n_L=4, n_R=0;
stdout;2026-09-18 16:12:20.341424;;;|
|;
VAL;2026-09-18 16:12:20.341424;;;SM_SEND_TIME;4.127701044082642
VAL;2026-09-18 16:12:20.341424;;;CUE_ONSET_TIME;4.1487010440826415
TRIAL;2026-09-18 16:12:20.341424;;;New trial;
VAL;2026-09-18 16:12:20.351440;;;WHEEL_POS;4.138,0.00
VAL;2026-09-18 16:12:20.375678;;;WHEEL_POS;4.162,0.00
