__UUID4__;62247b31-5afb-4bae-8842-16a294dbfcf4
__CREATED-ON__;2026-09-18 16:38:36.224620
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 16:38:36.224620;;;SERIAL-PORT;COM10
INFO;2026-09-18 16:38:36.224620;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 16:38:36.224620;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 16:38:36.224620;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 16:38:36.224620;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 16:38:36.224620;;;BOARD-NAME;Box3
INFO;2026-09-18 16:38:36.224620;;;SETUP-NAME;Stage3
INFO;2026-09-18 16:38:36.224620;;;BPOD-GUI-VERSION;
INFO;2026-09-18 16:38:36.224620;;;NET-PORT;36000
INFO;2026-09-18 16:38:36.224620;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 16:38:36.688611;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 16:38:36.688611;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 16:38:36.688611;;;SESSION-NAME;20260918-163835
INFO;2026-09-18 16:38:36.688611;;;SESSION-STARTED;2026-09-18 16:38:36.208995
stdout;2026-09-18 16:38:36.688611;;;Connected to Bpod on COM10;
stdout;2026-09-18 16:38:36.688611;;;|
|;
stdout;2026-09-18 16:38:36.688611;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 16:38:36.688611;;;|
|;
stdout;2026-09-18 16:38:36.719861;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 16:38:36.719861;;;|
|;
stdout;2026-09-18 16:38:38.745605;;;  COM11: ack=217;
stdout;2026-09-18 16:38:38.745605;;;|
|;
stdout;2026-09-18 16:38:40.763164;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 16:38:40.763164;;;|
|;
stdout;2026-09-18 16:38:40.898048;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 16:38:40.898048;;;|
|;
stdout;2026-09-18 16:38:40.913674;;;Amplitude from calibration: 0.6552 for 70.0dB SPL (L 4000Hz).;
stdout;2026-09-18 16:38:40.913674;;;|
|;
stdout;2026-09-18 16:38:40.913674;;;WARNING: sound calibration unavailable (R 10000Hz has no calibration fit yet -- run calibrate_sound.py and fit it before requesting an amplitude.) -- using hardcoded fallback amplitude=1.0.;
stdout;2026-09-18 16:38:40.913674;;;|
|;
VAL;2026-09-18 16:38:40.913674;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 16:38:40.913674;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 16:38:45.915861;;;GIT_COMMIT;unknown
VAL;2026-09-18 16:38:45.915861;;;TARGET_SPL_DB;70.0
VAL;2026-09-18 16:38:45.915861;;;LEFT_FREQ_HZ;4000
VAL;2026-09-18 16:38:45.915861;;;RIGHT_FREQ_HZ;10000
stdout;2026-09-18 16:38:48.207844;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 16:38:48.207844;;;|
|;
stdout;2026-09-18 16:38:48.207844;;;DEBUG: camera.start() returned OK;
stdout;2026-09-18 16:38:48.207844;;;|
|;
VAL;2026-09-18 16:38:48.207844;;;CAMERA_START_TIME;2.291982412338257
VAL;2026-09-18 16:38:48.207844;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 16:38:48.207844;;;CAMERA_FPS;30.0
stdout;2026-09-18 16:38:48.207844;;;Dot gain calibrated to -26.33 px/wheel-deg (screen width 2048px, response threshold 35.0deg);
stdout;2026-09-18 16:38:48.207844;;;|
|;
stdout;2026-09-18 16:38:49.142537;;;Starting Stage 3 -- response threshold frozen at 35.0deg, in-trial threshold 10.0deg (PLACEHOLDER -- not yet empirically derived), click level FULL;
stdout;2026-09-18 16:38:49.142537;;;|
|;
VAL;2026-09-18 16:38:49.158159;;;TRIAL_INIT_START;3.242297649383545
VAL;2026-09-18 16:38:49.173786;;;WHEEL_POS;3.258,0.00
VAL;2026-09-18 16:38:49.208543;;;WHEEL_POS;3.293,0.00
VAL;2026-09-18 16:38:49.224170;;;WHEEL_POS;3.308,0.00
VAL;2026-09-18 16:38:49.239798;;;WHEEL_POS;3.324,0.00
VAL;2026-09-18 16:38:49.266382;;;WHEEL_POS;3.351,0.00
VAL;2026-09-18 16:38:49.297636;;;WHEEL_POS;3.382,0.00
VAL;2026-09-18 16:38:49.318163;;;WHEEL_POS;3.402,0.00
