__UUID4__;da2aa5e3-80f9-4d6e-9f08-c62b0ec11b05
__CREATED-ON__;2026-09-18 17:04:41.642538
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 17:04:41.642538;;;SERIAL-PORT;COM10
INFO;2026-09-18 17:04:41.642538;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 17:04:41.642538;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 17:04:41.642538;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 17:04:41.643207;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 17:04:41.643207;;;BOARD-NAME;Box3
INFO;2026-09-18 17:04:41.643207;;;SETUP-NAME;Stage3
INFO;2026-09-18 17:04:41.643207;;;BPOD-GUI-VERSION;
INFO;2026-09-18 17:04:41.643207;;;NET-PORT;36000
INFO;2026-09-18 17:04:41.643207;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 17:04:42.106641;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 17:04:42.106641;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 17:04:42.106641;;;SESSION-NAME;20260918-170440
INFO;2026-09-18 17:04:42.106641;;;SESSION-STARTED;2026-09-18 17:04:41.641105
stdout;2026-09-18 17:04:42.106641;;;Connected to Bpod on COM10;
stdout;2026-09-18 17:04:42.106641;;;|
|;
stdout;2026-09-18 17:04:42.106641;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 17:04:42.106641;;;|
|;
stdout;2026-09-18 17:04:42.133142;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 17:04:42.133142;;;|
|;
stdout;2026-09-18 17:04:44.157666;;;  COM11: ack=217;
stdout;2026-09-18 17:04:44.157666;;;|
|;
stdout;2026-09-18 17:04:46.181737;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 17:04:46.181737;;;|
|;
stdout;2026-09-18 17:04:46.330895;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 17:04:46.330895;;;|
|;
