__UUID4__;939f91eb-816a-468d-8076-0816df0d24c5
__CREATED-ON__;2026-09-18 17:10:06.487381
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2026-09-18 17:10:06.487381;;;SERIAL-PORT;COM10
INFO;2026-09-18 17:10:06.487381;;;PROTOCOL-NAME;stage3_clicks_direction
INFO;2026-09-18 17:10:06.487381;;;CREATOR-NAME;["UM", "f519825a-ab5d-4fe9-91c0-a52f3d5afee3", "local"]
INFO;2026-09-18 17:10:06.487381;;;PROJECT-NAME;AuditoryEvidenceAccum
INFO;2026-09-18 17:10:06.487381;;;EXPERIMENT-NAME;Stage3
INFO;2026-09-18 17:10:06.487381;;;BOARD-NAME;Box3
INFO;2026-09-18 17:10:06.487381;;;SETUP-NAME;Stage3
INFO;2026-09-18 17:10:06.487381;;;BPOD-GUI-VERSION;
INFO;2026-09-18 17:10:06.487381;;;NET-PORT;36000
INFO;2026-09-18 17:10:06.487381;;;SUBJECT-NAME;['test_stage3', '7ccf4666-0f7e-47ec-b218-76d067d83f69']
INFO;2026-09-18 17:10:06.956742;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2026-09-18 17:10:06.956742;;;BPOD-API-VERSION;1.8.2
INFO;2026-09-18 17:10:06.956742;;;SESSION-NAME;20260918-171005
INFO;2026-09-18 17:10:06.956742;;;SESSION-STARTED;2026-09-18 17:10:06.487381
stdout;2026-09-18 17:10:06.956742;;;Connected to Bpod on COM10;
stdout;2026-09-18 17:10:06.956742;;;|
|;
stdout;2026-09-18 17:10:06.956742;;;Resolved module 'RotaryEncoder1' on Bpod port 1;
stdout;2026-09-18 17:10:06.956742;;;|
|;
stdout;2026-09-18 17:10:06.987995;;;RotaryEncoderModule.discover: probing ['COM11', 'COM1', 'COM14'] (excluding ['COM10']);
stdout;2026-09-18 17:10:06.987995;;;|
|;
stdout;2026-09-18 17:10:09.009338;;;  COM11: ack=217;
stdout;2026-09-18 17:10:09.009338;;;|
|;
stdout;2026-09-18 17:10:11.029809;;;Connected to rotary encoder on COM11;
stdout;2026-09-18 17:10:11.029809;;;|
|;
stdout;2026-09-18 17:10:11.168151;;;Connected to HiFi module on COM14 (192000Hz sampling);
stdout;2026-09-18 17:10:11.168151;;;|
|;
stdout;2026-09-18 17:10:11.183776;;;Amplitude from calibration: 0.6552 for 70.0dB SPL (L 4000Hz).;
stdout;2026-09-18 17:10:11.183776;;;|
|;
stdout;2026-09-18 17:10:11.183776;;;Amplitude from calibration: 0.4847 for 70.0dB SPL (R 10000Hz).;
stdout;2026-09-18 17:10:11.183776;;;|
|;
VAL;2026-09-18 17:10:11.183776;;;LEFT_THRESHOLD_DEG;-35.0
VAL;2026-09-18 17:10:11.183776;;;RIGHT_THRESHOLD_DEG;35.0
VAL;2026-09-18 17:10:26.190388;;;GIT_COMMIT;unknown
VAL;2026-09-18 17:10:26.190388;;;REWARD_UL;4.0
VAL;2026-09-18 17:10:26.190388;;;TARGET_SPL_DB;70.0
VAL;2026-09-18 17:10:26.190388;;;LEFT_FREQ_HZ;4000
VAL;2026-09-18 17:10:26.190388;;;RIGHT_FREQ_HZ;10000
stdout;2026-09-18 17:10:28.411909;;;CameraRecorder: index 0, 640x480 @ 30.0fps -> session_video.avi;
stdout;2026-09-18 17:10:28.411909;;;|
|;
stdout;2026-09-18 17:10:28.411909;;;DEBUG: camera.start() returned OK;
stdout;2026-09-18 17:10:28.411909;;;|
|;
VAL;2026-09-18 17:10:28.411909;;;CAMERA_START_TIME;2.2215211391448975
VAL;2026-09-18 17:10:28.411909;;;CAMERA_OUTPUT_PATH;session_video.avi
VAL;2026-09-18 17:10:28.411909;;;CAMERA_FPS;30.0
stdout;2026-09-18 17:10:28.411909;;;Dot gain calibrated to -26.33 px/wheel-deg (screen width 2048px, response threshold 35.0deg);
stdout;2026-09-18 17:10:28.411909;;;|
|;
stdout;2026-09-18 17:10:30.069321;;;Starting Stage 3 -- response threshold frozen at 35.0deg, in-trial threshold 10.0deg (PLACEHOLDER -- not yet empirically derived), click level FULL;
stdout;2026-09-18 17:10:30.069321;;;|
|;
VAL;2026-09-18 17:10:30.069321;;;TRIAL_INIT_START;3.8789334297180176
VAL;2026-09-18 17:10:30.104838;;;WHEEL_POS;3.914,0.00
VAL;2026-09-18 17:10:30.138099;;;WHEEL_POS;3.948,0.00
VAL;2026-09-18 17:10:30.169288;;;WHEEL_POS;3.979,0.00
VAL;2026-09-18 17:10:30.200545;;;WHEEL_POS;4.010,0.00
VAL;2026-09-18 17:10:30.238304;;;WHEEL_POS;4.048,0.00
VAL;2026-09-18 17:10:30.269557;;;WHEEL_POS;4.079,0.00
VAL;2026-09-18 17:10:30.285185;;;TRIAL_START;4.079169750213623
VAL;2026-09-18 17:10:30.285185;;;QUIESCENCE_BREAKS;0
VAL;2026-09-18 17:10:30.285185;;;TRIAL_TYPE;warmup
VAL;2026-09-18 17:10:30.682697;;;TRIAL_SIDE;R
VAL;2026-09-18 17:10:30.682697;;;CLICK_TIMES_L;
VAL;2026-09-18 17:10:30.682697;;;CLICK_TIMES_R;0.0150,0.0300,0.0450,0.0763,0.0913,0.1752
VAL;2026-09-18 17:10:30.682697;;;N_CLICKS_L;0
VAL;2026-09-18 17:10:30.682697;;;N_CLICKS_R;6
VAL;2026-09-18 17:10:30.682697;;;STIM_SEED;1585866354
VAL;2026-09-18 17:10:30.682697;;;CUE_ABORT_THRESHOLD_DEG;10.0
VAL;2026-09-18 17:10:30.682697;;;RESPONSE_THRESHOLD_DEG;35.0
VAL;2026-09-18 17:10:30.682697;;;QUIESCENCE_DUR_S;0.1
VAL;2026-09-18 17:10:30.682697;;;ITI_S;1.5
VAL;2026-09-18 17:10:30.682697;;;CLICK_LEVEL_ATTENUATED;False
stdout;2026-09-18 17:10:30.682697;;;Trial 1 (warmup): side=R, n_L=0, n_R=6;
stdout;2026-09-18 17:10:30.682697;;;|
|;
VAL;2026-09-18 17:10:30.682697;;;SM_SEND_TIME;4.492309093475342
VAL;2026-09-18 17:10:30.682697;;;CUE_ONSET_TIME;4.513309093475342
TRIAL;2026-09-18 17:10:30.682697;;;New trial;
VAL;2026-09-18 17:10:30.682697;;;WHEEL_POS;4.492,0.00
VAL;2026-09-18 17:10:30.713952;;;WHEEL_POS;4.524,0.00
VAL;2026-09-18 17:10:30.739092;;;WHEEL_POS;4.549,0.00
VAL;2026-09-18 17:10:30.785357;;;WHEEL_POS;4.595,0.00
VAL;2026-09-18 17:10:30.800983;;;WHEEL_POS;4.611,0.00
VAL;2026-09-18 17:10:30.839244;;;WHEEL_POS;4.649,0.00
VAL;2026-09-18 17:10:30.870496;;;WHEEL_POS;4.680,0.00
VAL;2026-09-18 17:10:30.886121;;;WHEEL_POS;4.696,0.00
VAL;2026-09-18 17:10:30.917374;;;WHEEL_POS;4.727,0.00
VAL;2026-09-18 17:10:30.939507;;;WHEEL_POS;4.749,0.00
EVENT;2026-09-18 17:10:30.969524;0.271;;158;Tup
TRANSITION;2026-09-18 17:10:30.969524;0.271;;DelayPeriod;
VAL;2026-09-18 17:10:30.970528;;;WHEEL_POS;4.780,0.00
VAL;2026-09-18 17:10:31.001783;;;WHEEL_POS;4.811,0.00
VAL;2026-09-18 17:10:31.039542;;;WHEEL_POS;4.849,0.00
VAL;2026-09-18 17:10:31.070794;;;WHEEL_POS;4.880,0.00
VAL;2026-09-18 17:10:31.090215;;;WHEEL_POS;4.900,0.00
EVENT;2026-09-18 17:10:31.105844;0.41150000000000003;;158;Tup
TRANSITION;2026-09-18 17:10:31.105844;0.41150000000000003;;CueComplete;
EVENT;2026-09-18 17:10:31.105844;0.4116;;158;Tup
END-TRIAL;2026-09-18 17:10:31.105844;;;The trial ended;
INFO;2026-09-18 17:10:31.105844;24.080731;24.492335;TRIAL-BPOD-TIME;0.4116040000000005
STATE;2026-09-18 17:10:31.105844;0;0.271;CuePeriod;0.271
STATE;2026-09-18 17:10:31.105844;0.271;0.41150000000000003;DelayPeriod;0.1405
STATE;2026-09-18 17:10:31.105844;0.41150000000000003;0.4116;CueComplete;9.999999999998899e-05
STATE;2026-09-18 17:10:31.105844;nan;nan;WheelAbort;nan
STATE;2026-09-18 17:10:31.105844;nan;nan;AbortITI;nan
VAL;2026-09-18 17:10:31.105844;;;WHEEL_POS;4.915,0.00
VAL;2026-09-18 17:10:31.139604;;;SM_SEND_TIME;4.94921612739563
TRIAL;2026-09-18 17:10:31.139604;;;New trial;
VAL;2026-09-18 17:10:31.155229;;;WHEEL_POS;4.965,0.00
VAL;2026-09-18 17:10:31.185367;;;WHEEL_POS;4.995,0.00
VAL;2026-09-18 17:10:31.200994;;;WHEEL_POS;5.011,0.00
VAL;2026-09-18 17:10:31.239756;;;WHEEL_POS;5.049,0.00
VAL;2026-09-18 17:10:31.271007;;;WHEEL_POS;5.081,0.00
VAL;2026-09-18 17:10:31.302259;;;WHEEL_POS;5.112,0.00
VAL;2026-09-18 17:10:31.340554;;;WHEEL_POS;5.150,0.00
VAL;2026-09-18 17:10:31.375308;;;WHEEL_POS;5.185,0.00
VAL;2026-09-18 17:10:31.390937;;;WHEEL_POS;5.201,0.00
VAL;2026-09-18 17:10:31.452700;;;WHEEL_POS;5.262,0.00
VAL;2026-09-18 17:10:31.483954;;;WHEEL_POS;5.294,0.00
VAL;2026-09-18 17:10:31.515204;;;WHEEL_POS;5.325,0.00
VAL;2026-09-18 17:10:31.540335;;;WHEEL_POS;5.350,0.00
VAL;2026-09-18 17:10:31.555965;;;WHEEL_POS;5.366,0.00
VAL;2026-09-18 17:10:31.591246;;;WHEEL_POS;5.401,0.00
VAL;2026-09-18 17:10:31.640642;;;WHEEL_POS;5.450,0.00
VAL;2026-09-18 17:10:31.656264;;;WHEEL_POS;5.466,0.00
VAL;2026-09-18 17:10:31.687511;;;WHEEL_POS;5.497,0.00
